Patient 4,,,,,,,,,
Time ,Ankle,,,Thigh,,,Trunk,,
1453,40,29,-970,772,462,313,106,28,-961
1468,50,29,-960,745,481,313,87,28,-970
1484,50,19,-960,754,481,303,97,47,-970
1500,50,19,-960,763,481,313,97,47,-961
1515,50,19,-960,754,481,313,77,38,-980
1531,40,29,-980,754,481,303,97,38,-970
1546,50,19,-940,763,490,303,97,47,-961
1562,50,29,-960,763,490,303,97,28,-970
1578,50,29,-950,763,472,313,97,38,-980
1593,60,29,-960,745,481,303,97,38,-980
1609,50,19,-960,745,481,303,87,38,-980
1625,50,19,-960,754,490,323,106,38,-961
1640,40,29,-960,754,490,303,97,28,-970
1656,30,19,-960,763,481,303,97,38,-970
1671,50,19,-980,763,481,303,97,57,-970
1687,50,39,-980,745,490,303,97,28,-1000
1703,60,29,-960,745,490,303,97,28,-980
1718,60,29,-960,736,490,282,77,47,-970
1734,50,19,-960,754,481,292,106,38,-990
1750,60,9,-960,754,481,292,97,28,-990
1765,50,19,-990,754,490,292,106,38,-980
1781,50,19,-960,754,490,292,106,38,-980
1796,50,29,-970,745,472,303,106,28,-970
1812,70,9,-950,754,490,313,106,28,-980
1828,50,9,-980,772,472,323,106,28,-980
1843,50,19,-960,763,472,313,97,38,-970
1859,40,19,-960,763,472,313,106,19,-970
1875,60,9,-960,772,472,313,97,47,-980
1890,60,9,-960,772,472,292,77,38,-990
1906,50,19,-980,763,481,313,97,38,-970
1921,50,0,-960,745,490,303,97,38,-980
1937,50,29,-950,763,490,303,106,28,-970
1953,50,19,-950,754,481,303,106,38,-980
1968,40,19,-960,754,481,292,97,47,-961
1984,50,39,-970,763,472,292,106,28,-980
2000,60,29,-950,763,481,313,87,47,-990
2015,40,19,-960,772,472,303,106,38,-961
2031,50,19,-960,754,472,313,77,28,-980
2046,50,19,-960,763,481,272,106,47,-951
2062,40,29,-950,763,490,303,116,38,-970
2078,40,9,-970,754,481,282,97,38,-970
2093,50,19,-980,763,481,303,106,47,-980
2109,40,29,-960,763,490,303,106,38,-970
2125,50,9,-950,772,472,292,97,28,-970
2140,50,9,-950,763,481,313,106,47,-990
2156,60,19,-980,763,490,303,106,28,-961
2171,40,19,-960,772,462,282,87,38,-980
2187,70,19,-960,754,472,292,97,38,-980
2203,60,29,-940,763,490,313,106,28,-980
2218,50,29,-950,754,481,323,106,38,-970
2234,50,19,-950,763,472,292,106,28,-1000
2250,50,29,-950,763,481,303,106,57,-980
2265,60,19,-950,763,490,292,97,38,-961
2281,40,29,-950,763,490,303,97,38,-961
2296,40,29,-950,754,490,303,97,38,-990
2312,50,19,-960,754,481,303,116,28,-980
2328,40,9,-960,772,462,313,87,47,-990
2343,40,39,-960,772,481,303,87,38,-961
2359,60,29,-950,763,490,292,97,38,-990
2375,60,29,-950,772,472,303,87,38,-951
2390,50,19,-970,772,472,303,97,28,-990
2406,50,39,-960,763,472,313,106,38,-970
2421,40,19,-940,763,472,292,97,47,-970
2437,50,29,-960,745,490,303,97,47,-990
2453,50,29,-970,763,472,323,97,47,-961
2468,50,0,-970,754,472,303,97,38,-970
2484,60,29,-990,754,481,333,106,38,-980
2500,50,19,-980,754,481,313,97,28,-970
2515,50,19,-980,772,490,303,97,28,-980
2531,50,29,-960,763,462,272,116,38,-970
2546,60,9,-950,754,490,313,97,38,-970
2562,40,29,-960,745,481,313,87,28,-970
2578,60,29,-960,772,481,323,106,38,-961
2593,50,9,-950,754,481,292,97,38,-980
2609,30,29,-950,745,481,303,97,28,-990
2625,40,29,-970,745,481,313,106,38,-961
2640,30,19,-960,754,472,303,87,47,-970
2656,60,29,-970,754,481,303,106,28,-990
2671,50,9,-960,763,481,333,97,47,-970
2687,60,19,-960,754,490,323,106,38,-980
2703,60,29,-970,763,481,313,106,19,-980
2718,40,19,-950,763,481,303,106,28,-970
2734,60,19,-970,763,462,323,97,38,-941
2750,30,19,-940,763,472,333,106,28,-970
2765,60,19,-960,763,481,323,77,38,-961
2781,60,29,-960,754,490,292,106,38,-1000
2796,60,0,-960,772,481,303,97,28,-951
2812,50,19,-980,754,490,303,87,28,-970
2828,50,29,-950,754,500,282,97,38,-990
2843,50,29,-950,763,481,272,106,28,-961
2859,40,29,-950,754,490,303,87,38,-1000
2875,50,29,-950,745,490,303,97,38,-980
2890,50,29,-960,745,490,323,116,38,-990
2906,50,19,-940,763,481,303,97,38,-961
2921,50,19,-940,763,481,313,97,38,-990
2937,50,19,-950,763,481,303,97,38,-990
2953,50,29,-940,763,481,292,97,19,-970
2968,50,29,-970,754,490,292,87,57,-961
2984,50,19,-960,754,472,282,87,47,-990
3000,40,29,-980,745,481,303,97,38,-970
3015,50,39,-960,754,490,313,106,38,-980
3031,50,19,-960,763,481,292,97,38,-980
3046,50,29,-960,763,481,292,97,38,-961
3062,50,19,-970,763,472,313,97,38,-961
3078,40,9,-960,754,481,282,97,38,-970
3093,50,29,-980,754,490,303,87,28,-980
3109,40,29,-970,772,472,323,116,19,-961
3125,40,29,-980,763,490,313,97,38,-970
3140,40,29,-960,763,481,303,106,47,-990
3156,40,29,-970,754,481,303,97,38,-970
3171,40,29,-970,763,481,313,87,47,-951
3187,40,19,-970,745,490,303,106,47,-990
3203,40,19,-960,763,490,282,106,38,-951
3218,50,19,-950,763,481,313,97,38,-990
3234,50,39,-960,754,472,303,97,38,-941
3250,40,29,-950,754,490,313,97,38,-970
3265,40,29,-970,754,490,303,97,28,-961
3281,60,29,-950,754,481,303,116,38,-980
3296,40,9,-960,754,490,303,97,38,-990
3312,50,29,-960,772,481,303,106,38,-980
3328,60,9,-970,754,500,313,106,38,-951
3343,40,29,-960,772,490,303,97,28,-980
3359,40,29,-960,772,481,292,87,28,-970
3375,60,29,-950,754,481,303,106,28,-1000
3390,60,19,-980,772,481,313,106,38,-980
3406,50,29,-960,763,472,323,97,47,-980
3421,40,9,-980,763,481,303,97,47,-961
3437,50,19,-950,763,472,313,106,38,-990
3453,50,29,-950,754,490,323,97,28,-980
3468,50,19,-970,754,472,323,97,38,-970
3484,60,19,-960,754,481,313,87,38,-980
3500,30,29,-950,754,490,313,97,28,-990
3515,30,19,-940,763,481,303,106,38,-951
3531,50,19,-950,754,500,292,97,47,-990
3546,40,29,-960,754,472,313,97,38,-970
3562,40,19,-960,754,472,313,87,38,-970
3578,40,29,-960,754,490,303,87,57,-961
3593,60,29,-970,772,481,292,106,28,-970
3609,50,19,-970,754,481,303,106,38,-970
3625,50,29,-950,754,490,313,106,38,-980
3640,60,29,-960,745,490,282,116,19,-1000
3656,60,19,-960,754,500,282,97,38,-970
3671,50,29,-940,754,481,303,106,28,-980
3687,60,29,-980,772,481,303,106,28,-990
3703,60,29,-980,763,481,323,97,38,-970
3718,60,19,-960,754,490,303,87,38,-1009
3734,50,29,-940,754,481,303,106,28,-961
3750,60,19,-950,754,481,303,87,38,-970
3765,40,19,-950,763,481,292,106,38,-1000
3781,60,19,-970,763,481,313,106,38,-1000
3796,60,19,-950,763,481,313,106,28,-970
3812,60,29,-960,763,490,303,106,38,-970
3828,60,29,-960,763,481,313,106,38,-970
3843,60,19,-950,754,481,303,106,38,-980
3859,40,19,-960,763,481,313,87,38,-980
3875,70,29,-970,763,481,313,106,28,-970
3890,70,29,-970,763,509,292,97,38,-970
3906,50,19,-940,763,481,303,106,47,-970
3921,50,19,-940,754,490,303,97,38,-980
3937,30,9,-960,763,481,303,97,38,-980
3953,50,39,-960,763,490,303,97,38,-970
3968,50,9,-940,763,490,303,97,38,-1000
3984,50,9,-940,745,490,313,97,47,-980
4000,50,29,-960,745,481,323,106,28,-980
4015,70,19,-960,754,481,323,87,57,-1000
4031,70,19,-960,754,481,303,97,38,-970
4046,50,19,-950,754,481,323,116,38,-990
4062,50,39,-980,754,481,323,97,38,-961
4078,50,39,-980,745,490,292,87,47,-990
4093,40,19,-960,772,462,313,97,38,-961
4109,40,19,-960,754,481,323,87,28,-961
4125,60,19,-950,763,472,292,106,47,-1000
4140,60,19,-950,754,481,323,97,28,-970
4156,60,19,-950,754,481,323,97,47,-990
4171,60,19,-950,754,481,323,87,38,-961
4187,60,19,-950,763,490,303,97,38,-970
4203,60,19,-950,754,490,313,97,38,-990
4218,60,19,-950,772,472,313,106,38,-951
4234,60,19,-950,745,481,303,77,38,-970
4250,60,9,-970,745,472,323,116,19,-961
4265,40,19,-940,763,472,323,97,38,-970
4281,50,39,-960,763,472,323,106,47,-990
4296,40,9,-960,763,472,313,87,38,-970
4312,60,9,-960,745,490,313,97,38,-990
4328,50,29,-940,763,481,333,97,47,-1000
4343,50,29,-940,763,481,323,97,28,-961
4359,50,29,-950,745,490,292,87,38,-990
4375,40,29,-960,763,472,303,106,38,-980
4390,40,19,-960,763,472,303,97,28,-980
4406,50,19,-970,754,481,303,87,38,-970
4421,40,9,-980,745,472,303,97,28,-990
4437,40,19,-960,763,481,313,106,38,-970
4453,40,19,-960,781,462,292,87,38,-980
4468,60,19,-980,763,481,313,106,38,-990
4484,40,49,-970,754,490,313,97,28,-951
4500,60,19,-970,763,481,303,106,28,-980
4515,60,19,-970,763,481,303,97,28,-980
4531,60,9,-960,763,481,323,106,28,-970
4546,50,19,-960,754,472,313,87,38,-990
4562,50,39,-970,754,481,333,97,38,-970
4578,50,39,-970,754,490,292,97,38,-970
4593,60,19,-970,763,472,313,97,38,-990
4609,50,29,-960,781,462,333,106,38,-970
4625,60,29,-990,754,490,303,106,57,-1019
4640,40,29,-960,763,481,303,106,28,-980
4656,60,9,-970,763,472,303,97,38,-970
4671,40,19,-960,763,472,303,97,38,-970
4687,50,39,-960,745,481,343,97,47,-980
4703,50,29,-970,763,472,292,97,28,-1000
4718,50,19,-960,754,490,333,97,38,-970
4734,50,29,-970,745,481,303,97,38,-980
4750,50,9,-950,754,481,303,97,47,-970
4765,60,19,-950,763,481,303,97,38,-970
4781,20,19,-980,763,490,282,106,47,-980
4796,50,29,-960,763,472,313,87,38,-961
4812,40,19,-970,763,490,303,97,47,-980
4828,70,19,-970,763,462,323,97,47,-980
4843,50,19,-970,745,481,303,97,38,-961
4859,50,19,-970,754,481,303,97,38,-990
4875,40,29,-950,754,490,303,106,38,-970
4890,40,19,-960,754,490,303,97,28,-961
4906,60,19,-950,763,481,303,97,28,-990
4921,60,19,-950,736,500,313,97,28,-970
4937,40,19,-960,772,481,282,97,38,-990
4953,40,19,-960,772,472,292,87,38,-961
4968,50,29,-950,754,500,303,87,38,-961
4984,50,19,-970,763,481,323,97,38,-990
5000,50,29,-970,763,481,292,87,38,-951
5015,30,29,-960,763,490,282,87,57,-970
5031,40,19,-960,736,481,323,116,28,-980
5046,60,19,-950,763,490,313,87,28,-941
5062,60,19,-960,763,490,292,116,38,-990
5078,40,9,-970,772,481,292,87,47,-980
5093,60,29,-970,754,490,292,106,28,-961
5109,50,29,-950,754,490,303,106,28,-980
5125,60,29,-980,763,490,292,97,47,-980
5140,40,29,-950,754,481,303,106,28,-990
5156,50,29,-980,763,481,313,87,47,-961
5171,60,29,-960,772,490,303,97,47,-970
5187,30,29,-950,763,472,303,97,28,-990
5203,30,29,-950,745,472,292,87,47,-961
5218,60,19,-950,745,472,292,106,47,-1000
5234,50,29,-970,754,481,303,97,28,-970
5250,50,19,-960,763,472,323,87,38,-980
5265,50,39,-970,754,481,292,106,38,-970
5281,50,39,-970,754,481,303,106,28,-970
5296,60,19,-970,763,500,323,87,38,-970
5312,30,19,-950,763,481,303,106,47,-970
5328,40,19,-950,763,490,303,106,28,-990
5343,70,29,-960,736,490,323,77,38,-961
5359,50,9,-950,754,481,313,106,47,-990
5375,60,19,-960,754,472,303,106,28,-970
5390,50,9,-970,754,481,313,116,19,-970
5406,50,29,-980,763,481,292,106,38,-1000
5421,50,29,-970,772,481,313,87,38,-980
5437,50,29,-970,754,490,313,97,47,-980
5453,50,29,-950,754,481,303,106,38,-970
5468,50,29,-960,754,481,303,106,38,-961
5484,40,29,-960,763,472,303,97,47,-961
5500,60,19,-960,754,481,313,97,38,-980
5515,60,39,-970,763,481,313,97,38,-980
5531,60,0,-970,763,481,303,106,28,-1000
5546,60,19,-960,754,481,303,106,38,-970
5562,50,39,-980,754,481,313,87,38,-970
5578,50,19,-960,763,481,292,106,28,-970
5593,50,19,-950,754,472,303,97,28,-961
5609,50,19,-970,745,490,303,106,47,-990
5625,60,29,-950,745,490,303,106,28,-970
5640,60,9,-960,763,481,303,87,47,-970
5656,50,9,-940,763,481,313,106,47,-970
5671,60,19,-950,772,481,303,97,28,-980
5687,40,39,-960,763,481,313,87,47,-951
5703,40,29,-980,754,472,303,97,38,-990
5718,40,19,-940,754,481,303,97,28,-970
5734,40,29,-970,745,481,313,97,38,-980
5750,50,9,-960,754,481,292,106,38,-980
5765,40,19,-960,745,481,313,87,38,-970
5781,40,19,-960,763,472,292,97,38,-980
5796,50,19,-970,754,481,292,87,47,-970
5812,50,19,-970,763,490,313,97,38,-990
5828,60,29,-970,763,481,313,97,28,-990
5843,60,29,-970,754,481,303,87,38,-990
5859,60,19,-970,763,481,303,106,28,-990
5875,40,39,-980,754,490,303,97,28,-980
5890,40,9,-960,763,472,323,106,28,-970
5906,50,19,-940,745,472,292,106,38,-961
5921,50,19,-970,754,481,292,106,38,-961
5937,50,29,-960,745,481,282,106,47,-970
5953,60,29,-970,772,481,303,97,47,-951
5968,50,29,-960,754,500,303,97,47,-951
5984,40,19,-970,763,481,303,97,19,-961
6000,40,29,-970,763,472,292,87,38,-980
6015,40,9,-970,754,481,282,97,47,-961
6031,70,9,-960,772,472,313,106,28,-970
6046,60,29,-950,763,481,303,97,38,-961
6062,60,9,-950,763,481,292,97,28,-970
6078,60,29,-960,754,481,303,106,28,-980
6093,50,19,-960,754,500,303,97,38,-990
6109,60,19,-970,763,490,292,97,38,-990
6125,60,19,-970,763,490,282,97,28,-970
6140,40,29,-950,754,481,303,106,28,-970
6156,50,19,-970,772,481,313,87,47,-980
6171,50,29,-960,772,481,323,106,38,-970
6187,50,19,-970,754,481,292,97,38,-990
6203,50,19,-970,754,490,313,87,38,-951
6218,40,29,-960,763,490,323,97,28,-980
6234,60,19,-950,763,472,313,97,57,-980
6250,50,39,-940,763,472,313,106,38,-961
6265,50,29,-950,736,490,303,97,38,-970
6281,50,29,-980,772,490,323,97,28,-980
6296,50,19,-950,763,472,313,87,38,-970
6312,40,29,-960,754,472,353,97,38,-980
6328,30,19,-960,754,490,303,116,28,-980
6343,50,29,-950,763,481,303,87,38,-980
6359,70,29,-950,772,481,282,97,47,-970
6375,40,29,-970,763,490,323,106,28,-970
6390,50,19,-980,763,490,323,106,38,-970
6406,60,19,-970,745,490,323,87,38,-941
6421,40,29,-970,754,481,333,116,28,-990
6437,60,9,-970,763,490,282,97,28,-961
6453,50,29,-970,763,490,282,106,19,-970
6468,40,19,-970,763,472,313,87,47,-961
6484,70,29,-970,745,481,313,97,38,-980
6500,60,19,-970,754,490,292,97,28,-980
6515,50,9,-950,763,490,313,97,28,-970
6531,40,19,-940,754,462,303,87,38,-980
6546,50,29,-960,754,481,303,97,38,-980
6562,50,19,-960,754,490,303,97,38,-970
6578,40,19,-940,763,481,323,97,38,-970
6593,40,29,-960,754,481,313,106,28,-970
6609,50,19,-970,763,472,313,106,47,-980
6625,40,19,-960,754,490,303,106,38,-961
6640,50,29,-970,763,481,303,97,38,-990
6656,40,19,-970,745,481,323,97,47,-961
6671,50,29,-940,754,490,292,97,28,-970
6687,40,19,-970,763,472,313,106,28,-980
6703,30,9,-960,763,490,303,106,47,-961
6718,40,49,-970,772,481,303,106,28,-970
6734,50,29,-950,754,490,303,97,38,-990
6750,60,39,-980,763,481,282,97,38,-961
6765,50,9,-950,763,481,292,106,28,-980
6781,60,29,-970,754,481,303,87,47,-980
6796,50,19,-960,763,481,313,106,47,-980
6812,40,19,-990,763,472,313,97,38,-970
6828,50,19,-960,763,490,303,87,28,-980
6843,60,9,-950,763,472,303,106,38,-990
6859,40,29,-970,754,490,303,97,38,-970
6875,40,29,-970,754,481,323,97,47,-1000
6890,60,19,-960,745,490,313,97,38,-961
6906,70,19,-970,763,472,323,97,38,-970
6921,50,19,-960,754,490,313,116,28,-990
6937,40,29,-960,772,481,292,97,38,-980
6953,60,9,-970,754,481,333,97,38,-980
6968,50,29,-980,754,490,303,106,38,-990
6984,50,29,-970,781,462,323,116,19,-970
7000,40,39,-960,781,462,323,106,38,-951
7015,70,19,-970,763,472,323,106,38,-951
7031,40,39,-950,745,481,303,97,38,-970
7046,50,29,-960,745,481,303,97,38,-980
7062,50,29,-970,763,490,292,97,38,-961
7078,50,29,-960,763,472,292,97,28,-980
7093,50,19,-960,754,490,292,106,38,-961
7109,50,19,-960,763,472,292,87,47,-990
7125,50,19,-960,727,481,323,106,38,-980
7140,50,29,-970,763,481,282,97,38,-970
7156,40,19,-970,754,481,303,106,47,-1000
7171,50,9,-960,763,490,292,106,47,-1000
7187,40,39,-960,763,472,323,87,38,-970
7203,40,19,-950,754,490,292,97,38,-990
7218,40,29,-960,727,481,313,106,38,-961
7234,50,19,-980,754,481,292,97,47,-961
7250,60,19,-960,763,481,282,97,28,-970
7265,50,9,-970,754,500,292,97,28,-970
7281,40,29,-970,754,500,292,87,47,-1000
7296,50,19,-950,763,472,282,106,28,-980
7312,70,19,-960,754,490,303,106,38,-990
7328,60,29,-980,754,490,303,87,38,-970
7343,40,19,-960,763,500,272,97,38,-970
7359,50,29,-960,754,472,292,106,38,-980
7375,40,29,-970,736,481,323,97,38,-961
7390,60,-9,-960,763,490,292,97,38,-990
7406,40,29,-960,763,481,323,116,28,-970
7421,50,19,-960,754,481,313,97,38,-980
7437,60,39,-990,754,481,333,87,38,-970
7453,40,9,-970,763,481,313,106,47,-961
7468,70,19,-980,772,472,333,87,38,-980
7484,30,39,-940,763,490,323,97,38,-990
7500,70,9,-970,754,481,303,97,38,-970
7515,40,19,-940,763,481,323,106,28,-980
7531,40,19,-950,754,490,313,87,47,-961
7546,50,0,-960,754,490,292,97,28,-990
7562,60,29,-980,763,500,272,106,38,-980
7578,50,39,-960,754,500,292,106,38,-970
7593,40,29,-940,754,481,282,106,28,-1000
7609,60,19,-970,763,490,303,106,38,-970
7625,40,29,-950,754,490,292,97,38,-990
7640,40,29,-970,754,490,323,97,47,-970
7656,40,9,-950,763,481,282,106,28,-970
7671,50,19,-980,763,472,323,106,38,-1000
7687,60,29,-980,754,481,303,97,28,-961
7703,70,9,-960,754,481,303,106,19,-970
7718,50,19,-960,763,481,323,106,47,-1000
7734,40,39,-970,763,472,333,97,28,-970
7750,50,29,-940,763,481,313,97,47,-961
7765,50,19,-940,763,481,303,97,47,-961
7781,60,39,-950,763,490,282,97,47,-970
7796,50,9,-960,754,481,313,97,38,-970
7812,50,19,-950,781,472,313,106,28,-961
7828,60,19,-970,763,490,303,97,38,-970
7843,50,29,-950,772,472,323,106,47,-970
7859,30,29,-960,745,481,323,97,28,-980
7875,50,19,-960,763,481,343,106,28,-970
7890,30,19,-960,763,472,282,87,38,-961
7906,50,19,-960,763,490,292,106,38,-980
7921,50,29,-950,754,481,323,97,38,-961
7937,60,19,-940,763,490,303,97,47,-1000
7953,40,39,-960,763,481,313,106,28,-970
7968,40,39,-960,754,490,303,97,38,-951
7984,40,19,-960,745,481,313,97,38,-990
8000,60,19,-950,754,490,272,97,28,-951
8015,50,19,-960,754,472,313,106,38,-980
8031,40,19,-960,772,462,313,97,47,-961
8046,40,39,-970,763,481,303,97,28,-980
8062,50,29,-970,763,490,292,97,38,-990
8078,60,19,-970,763,481,313,116,28,-961
8093,60,29,-950,763,481,313,97,38,-1000
8109,50,29,-970,745,490,343,97,38,-970
8125,50,19,-980,754,481,313,106,28,-990
8140,50,19,-980,772,490,272,97,28,-961
8156,60,9,-960,754,481,313,97,38,-970
8171,50,29,-960,754,490,292,97,38,-970
8187,50,19,-980,763,490,292,97,38,-990
8203,40,19,-940,763,481,323,106,28,-990
8218,50,29,-980,745,472,313,106,28,-990
8234,50,19,-970,763,481,313,97,38,-980
8250,40,19,-950,763,472,323,87,38,-961
8265,60,29,-970,772,462,292,97,28,-970
8281,50,29,-960,754,490,313,97,38,-990
8296,60,29,-930,763,490,292,97,28,-1000
8312,60,29,-930,754,490,292,97,47,-970
8328,70,39,-960,754,490,282,97,38,-990
8343,60,19,-960,754,481,313,106,28,-961
8359,60,19,-960,763,500,282,106,28,-961
8375,70,19,-970,763,481,292,106,47,-970
8390,50,29,-960,745,490,303,106,47,-970
8406,50,19,-970,763,481,303,106,28,-1000
8421,40,39,-950,763,462,292,97,38,-980
8437,50,29,-970,754,472,313,97,28,-970
8453,60,19,-950,754,481,333,106,28,-970
8468,60,29,-980,763,472,343,97,38,-970
8484,60,29,-980,772,462,313,97,28,-990
8500,40,19,-960,754,481,303,106,38,-961
8515,50,29,-970,763,472,323,87,38,-970
8531,50,29,-960,763,481,333,97,28,-970
8546,40,29,-950,763,472,303,97,28,-970
8562,40,29,-980,754,481,303,97,28,-980
8578,40,39,-970,736,481,303,106,28,-970
8593,40,19,-960,772,462,292,106,28,-980
8609,50,29,-960,745,472,313,97,38,-990
8625,50,19,-960,763,490,303,97,47,-951
8640,50,19,-940,763,481,313,97,47,-990
8656,50,29,-940,781,462,313,97,38,-980
8671,50,29,-950,754,481,323,116,28,-961
8687,50,29,-950,763,490,292,97,47,-970
8703,50,29,-950,763,481,303,106,28,-990
8718,30,19,-960,763,490,292,77,38,-970
8734,30,19,-960,763,490,292,87,28,-980
8750,60,9,-980,763,490,333,97,28,-970
8765,50,19,-970,754,490,303,97,38,-980
8781,60,19,-960,763,481,303,106,38,-970
8796,60,9,-970,763,481,313,97,38,-980
8812,30,19,-950,763,490,303,97,47,-980
8828,50,19,-990,763,472,323,97,38,-980
8843,50,9,-960,772,462,303,106,38,-990
8859,60,29,-970,763,490,292,97,38,-970
8875,60,39,-970,763,481,282,106,38,-990
8890,50,29,-950,763,481,292,97,38,-980
8906,50,19,-950,772,462,292,97,38,-970
8921,50,9,-970,745,472,292,106,38,-990
8937,60,29,-960,754,481,313,97,47,-980
8953,50,19,-970,745,490,303,97,38,-990
8968,40,19,-950,736,481,292,77,47,-961
8984,40,19,-980,763,472,292,97,38,-980
9000,50,19,-960,754,472,303,97,28,-980
9015,50,29,-960,763,472,292,97,38,-980
9031,60,29,-980,745,490,303,97,47,-980
9046,50,39,-950,763,481,303,106,19,-970
9062,40,19,-960,754,481,272,97,47,-980
9078,50,29,-980,763,490,303,97,38,-980
9093,80,9,-940,763,472,303,106,28,-980
9109,70,0,-970,763,490,313,87,47,-951
9125,60,19,-980,754,490,303,97,38,-970
9140,30,19,-960,754,490,303,116,38,-990
9156,40,19,-940,763,462,292,97,38,-980
9171,40,19,-940,754,481,323,97,47,-980
9187,60,29,-960,754,481,292,106,38,-970
9203,40,49,-950,772,481,282,97,47,-980
9218,50,19,-940,754,481,303,106,47,-980
9234,70,9,-970,763,490,313,106,28,-961
9250,50,29,-950,754,490,313,87,38,-990
9265,40,29,-960,763,481,313,106,38,-970
9281,40,29,-970,772,472,303,97,28,-961
9296,50,29,-970,754,481,292,97,28,-980
9312,50,29,-970,763,481,303,97,28,-980
9328,40,9,-970,763,472,303,97,47,-961
9343,60,19,-970,763,472,313,106,47,-970
9359,50,19,-970,754,481,282,106,38,-980
9375,50,9,-960,763,500,282,97,38,-980
9390,60,19,-950,763,481,313,106,47,-990
9406,50,29,-970,754,500,303,106,38,-961
9421,50,19,-940,781,472,282,106,9,-980
